,dt,A,dA,B,dB,s,ds,tau,dtau
37,3.0228571428571427,0.2985200324435645,0.16492492641540574,0.20734883292919043,0.09082136783557862,0.9632650188607853,0.09348428366248845,1.9360697304980108,0.5506061106689715
38,3.104285714285714,0.25356708387250115,0.1567045724291634,0.20125668964807492,0.09122486338361065,0.9882412276600245,0.08906385370948967,1.9454143473612695,0.5604033014357215
39,3.185714285714285,0.27734416871389256,0.1882294275316913,0.20498366678814567,0.10185983373417644,0.9811679087717258,0.10763918571571929,2.016296336674128,0.6435319985292812
40,3.267142857142857,0.23828646202975684,0.15167980005338347,0.17083566427894253,0.08269554413262462,0.9994546127075324,0.08411407198243655,1.8562866550974122,0.5214268450733235
41,3.3485714285714288,0.23879066909590593,0.16462261697691216,0.19713701961158886,0.0938357327636324,0.9978830978434077,0.09372894867273532,2.071386382752671,0.6186580467817153
42,3.43,0.23955850924195018,0.1517382154879881,0.1538340892290202,0.0751392490407766,1.002706673004197,0.08471109632252484,1.845924397965225,0.49738368153076884
43,3.511428571428572,0.2536795507910782,0.20038051464206724,0.1443191503532736,0.08682586463589646,0.991713006674002,0.11359515172076493,1.8144969579441628,0.5790134325432581
44,3.592857142857143,0.1946425069132367,0.13144453367803122,0.15151075411710674,0.08171379666660353,1.0207598228315202,0.07294256564300955,1.904544195567306,0.5518354709596873
45,3.6742857142857135,0.24232600386837708,0.18518612745172516,0.12752718664720203,0.07905057314942998,0.9990826504283415,0.10662679147059781,1.7836314790573815,0.5498751784415654
46,3.755714285714286,0.22471152340054784,0.16112465363862077,0.1385115965616143,0.08419011045762911,1.0061007717463517,0.08837528003169613,1.906765675784028,0.6143275613680095
47,3.837142857142857,0.21307282298999614,0.15718494610041295,0.13801200107249068,0.08176515523582524,1.0132939703037487,0.08643321487627,1.93823232506996,0.5928225158603639
48,3.9185714285714286,0.2225061790574773,0.1557905096856564,0.10884480862009423,0.06868647635579171,1.0114187735597469,0.08682289081646791,1.764589805086145,0.5262343632219585
49,4.0,0.21555683005923892,0.14559256582155622,0.11688462075240369,0.07368588853549649,1.011626597946668,0.07891804455408599,1.8567494403593394,0.5670826561149285
